ratio,key,formula,result,missing_concepts,review_status,review_reason,document_id,cliente,periodo,tipo_documento,enlace
Margen Financiero,margen_financiero,margen_financiero_ajustado / (ingresos_por_intereses + ingresos_por_comisiones),,"margen_financiero_ajustado, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Margen Operativo,margen_operativo,utilidad_operacion_ajustada / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_operacion_ajustada, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Margen Neto,margen_neto,utilidad_neta / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_neta, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Rentabilidad Operativa,rentabilidad_operativa,(gastos_por_comisiones + gastos_administracion_venta_operacion) / (ingresos_por_intereses + ingresos_por_comisiones),,"gastos_por_comisiones, gastos_administracion_venta_operacion, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
ROE,roe,utilidad_neta / total_capital_contable,,"utilidad_neta, total_capital_contable",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
ROA,roa,utilidad_neta / total_activo,,"utilidad_neta, total_activo",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Cartera Vencida,cartera_vencida_ratio,cartera_vencida / cartera_administrada,,"cartera_vencida, cartera_administrada",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Cartera Vencida Neta,cartera_vencida_neta,(cartera_vencida - estimacion_preventiva) / cartera_administrada,,"cartera_vencida, estimacion_preventiva, cartera_administrada",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Tasa Activa,tasa_activa,ingresos_por_intereses / cartera_neta,,"ingresos_por_intereses, cartera_neta",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
Tasa Pasiva,tasa_pasiva,gastos_por_intereses / (bancos_y_fondos_cp + bancos_y_fondos_lp),,"gastos_por_intereses, bancos_y_fondos_cp, bancos_y_fondos_lp",needs_review,Faltan conceptos requeridos.,2,Apem,Abr 2024,EF - Apalancamiento,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view
