catalog_id,cliente,periodo,tipo_documento,formato,drive_source_link,suggested_drive_folder,suggested_filename,expected_drive_path,processing_status,notes
1,Afix,Jun 2026,Análisis Financiero,XLSX,https://drive.google.com/file/d/1ZSu8BhRZWAEwOyxuIOZh5NDPFU8RckiL/view,EEFF_Covenants_Source/Afix,0001_Afix_Jun_2026_Analisis_Financiero.xlsx,EEFF_Covenants_Source/Afix/0001_Afix_Jun_2026_Analisis_Financiero.xlsx,pending_file_in_drive_folder,
2,Apem,Abr 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1y3ttSYtei5XGpjIAnO1JbB_9ycATJXSj/view,EEFF_Covenants_Source/Apem,0002_Apem_Abr_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0002_Apem_Abr_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
3,Apem,Abr 2025,EEFF,PDF,https://drive.google.com/file/d/1XTjGddyBUvbEGSbXNE9r2sY0jp4AMQTu/view,EEFF_Covenants_Source/Apem,0003_Apem_Abr_2025_EEFF.pdf,EEFF_Covenants_Source/Apem/0003_Apem_Abr_2025_EEFF.pdf,pending_file_in_drive_folder,
4,Apem,Ago 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1OSFw840nwX7KY81jZPzuRo4IAQ02rh8A/view,EEFF_Covenants_Source/Apem,0004_Apem_Ago_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0004_Apem_Ago_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
5,Apem,Ago 2025,EEFF,PDF,https://drive.google.com/file/d/1bZXFFevz9yjb6CJCTok7N3s2uTHRlFj6/view,EEFF_Covenants_Source/Apem,0005_Apem_Ago_2025_EEFF.pdf,EEFF_Covenants_Source/Apem/0005_Apem_Ago_2025_EEFF.pdf,pending_file_in_drive_folder,
6,Apem,Dic 2023,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1ZSFffpY844Ow1W9R3vhL02WJXsECNx0h/view,EEFF_Covenants_Source/Apem,0006_Apem_Dic_2023_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0006_Apem_Dic_2023_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
7,Apem,Dic 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1Zp5a4wZ9UP5Asnj8b7ZXGhwitltGZCj2/view,EEFF_Covenants_Source/Apem,0007_Apem_Dic_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0007_Apem_Dic_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
8,Apem,Dic 2024,EF - Apalancamiento (Firmado),PDF,https://drive.google.com/file/d/1wxMkUFiO6FGsZEMZdbmrzOUTdMkOxF-M/view,EEFF_Covenants_Source/Apem,0008_Apem_Dic_2024_EF_Apalancamiento_Firmado.pdf,EEFF_Covenants_Source/Apem/0008_Apem_Dic_2024_EF_Apalancamiento_Firmado.pdf,pending_file_in_drive_folder,
9,Apem,Dic 2025,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view,EEFF_Covenants_Source/Apem,0009_Apem_Dic_2025_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0009_Apem_Dic_2025_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
10,Apem,Ene 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view,EEFF_Covenants_Source/Apem,0010_Apem_Ene_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0010_Apem_Ene_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
